,location,latitude,longitude,fatality_count
0,"300 block of State Line Road, TN",35.5174913,-86.5804473,1
1,"Abbeville, AL",31.5718352,-85.2504893,1
2,"Aberdeen, NC",35.131547,-79.42947889999998,1
3,"Abilene, TX",32.4487364,-99.73314390000002,2
4,"Abingdon, MD",39.4622357,-76.27722229999998,1
5,"Abingdon, VA",36.70983349999999,-81.97734820000002,1
6,"Abington Township, PA",40.1240795,-75.11951069999998,1
7,"Acworth, GA",34.0659329,-84.67687959999998,1
8,"Adams County, CO",39.8398269,-104.1930918,3
9,"Addison, TX",32.96179,-96.82916850000001,1
10,"Adelanto, CA",34.582769899999995,-117.409215,1
11,"Affton, MO",38.5506084,-90.3331719,1
12,"Aguanga, CA",33.442702000000004,-116.86512240000002,1
13,"Ahwatukee, AZ",33.3122624,-112.03571370000002,1
14,"Aiea, HI",21.386338,-157.92553569999995,1
15,"Aiken, SC",33.56041679999999,-81.71955329999999,2
16,"Aitkin, MN",46.5330129,-93.7102493,1
17,"Akron, OH",41.08144470000001,-81.51900529999998,6
18,"Alamo, TN",35.78479489999999,-89.1172883,2
19,"Alamogordo, NM",32.8995325,-105.960265,2
20,"Alamosa, CO",37.46944910000001,-105.8700214,2
21,"Albany, GA",31.5785074,-84.15574099999998,1
22,"Albany, NY",42.65257929999999,-73.7562317,1
23,"Albert Lea, MN",43.6478006,-93.3686555,1
24,"Albuquerque, NM",35.0843859,-106.650422,30
25,"Alderwood Manor, WA",47.8104919,-122.2482582,1
26,"Aldie, VA",38.9756745,-77.64187240000003,1
27,"Alexandria, LA",31.3112936,-92.4451371,2
28,"Alexandria, MN",45.8848164,-95.3776663,1
29,"Alexandria, VA",38.8048355,-77.0469214,1
30,"Algoma Township, MI",43.1492928,-85.62292959999998,1
31,"Alhambra, CA",34.095287,-118.1270146,1
32,"Aliceville, CA",33.12956810000001,-88.15141659999998,1
33,"Allen, TX",33.1031744,-96.67055030000002,2
34,"Allentown, PA",40.6022939,-75.4714098,3
35,"Aloha, OR",45.4942838,-122.8670454,2
36,"Alpine, CA",32.8350521,-116.7664109,2
37,"Alton, IL",38.8906038,-90.1842764,2
38,"Altoona, IA",41.6435514,-93.47508359999999,1
39,"Alvin, TX",29.4238472,-95.2441009,1
40,"Amarillo, TX",35.2219971,-101.8312969,9
41,"Amelia Island, FL",30.6265697,-81.46085599999998,1
42,"Amite, LA",30.7265747,-90.50898149999999,1
43,"Amity, OR",45.1156724,-123.2073257,1
44,"Anadarko, OK",35.072562,-98.2436625,1
45,"Anaheim, CA",33.8365932,-117.9143012,9
46,"Anchorage, AK",61.2180556,-149.90027780000003,8
47,"Anderson, CA",40.448208,-122.2977815,2
48,"Angel Fire, NM",36.3930879,-105.2850091,1
49,"Ankeny, IA",41.7317884,-93.6001278,1
50,"Anniston, AL",33.659825700000006,-85.8316318,1
51,"Anson County, NC",34.9054732,-80.1875065,1
52,"Antelope, CA",38.7166871,-121.3644216,1
53,"Antigo, WI",45.140245,-89.15233529999998,1
54,"Antioch, CA",38.0049214,-121.805789,4
55,"Antioch, IL",42.4772418,-88.0956396,1
56,"Antioch, TN",36.0597177,-86.6715948,1
57,"Apache Junction, AZ",33.4150485,-111.5495777,2
58,"Apex, NC",35.732652,-78.85028559999998,2
59,"Apopka, FL",28.6934076,-81.53221490000001,1
60,"Apple Creek, OH",40.7517229,-81.8393038,1
61,"Apple Valley, CA",34.5008311,-117.1858759,1
62,"Appleton, WI",44.2619309,-88.41538469999998,2
63,"Arab, AL",34.318149700000006,-86.49582190000002,1
64,"Aragonite, UT",40.7427465,-113.0051176,1
65,"Arcata, CA",40.8665166,-124.0828396,1
66,"Archdale, NC",35.914581,-79.97198309999997,2
67,"Arcola, IL",39.684755,-88.30643669999998,1
68,"Ardmore, OK",34.1742611,-97.1436254,1
69,"Ardsley, NY",41.0106531,-73.8437452,1
70,"Arlington, GA",31.4398976,-84.7249188,1
71,"Arlington, TN",35.2961973,-89.661469,1
72,"Arlington, TX",32.735687,-97.10806559999999,10
73,"Arlington, VA",38.8799697,-77.1067698,2
74,"Arpin, WI",44.5405159,-90.0351302,1
75,"Artesia, CA",33.8658484,-118.0831212,1
76,"Artesia, NM",32.8423345,-104.4032962,2
77,"Arundel, ME",43.4243008,-70.5141622,1
78,"Arvada, CO",39.8027644,-105.0874842,2
79,"Arvonia, VA",37.683478,-78.3413918,1
80,"Asbury Park, NJ",40.2203907,-74.01208170000002,1
81,"Ashe County, NC",36.4339674,-81.47183869999998,1
82,"Asheville, NC",35.5950581,-82.5514869,1
83,"Ashland, CA",37.6947836,-122.1136727,1
84,"Ashland, WI",46.59244279999999,-90.8837982,1
85,"Ashtabula, OH",41.8650534,-80.7898089,1
86,"Ashville, AL",33.8370433,-86.2544223,1
87,"Ashwaubenon, WI",44.4822137,-88.0701033,1
88,"Aspers, PA",39.9772075,-77.22511829999998,1
89,"Assaria, KS",38.6802826,-97.6044806,1
90,"Atascadero, CA",35.4894169,-120.6707255,1
91,"Athens, GA",33.9519347,-83.357567,3
92,"Atlanta, GA",33.7489954,-84.3879824,18
93,"Atlantic City, NJ",39.3642834,-74.4229266,3
94,"Atwater, CA",37.3477174,-120.609084,3
95,"Auburn, CA",38.8965654,-121.0768901,1
96,"Auburn, MA",42.1945385,-71.8356271,1
97,"Auburn, WA",47.30732279999999,-122.22845320000002,4
98,"Auburndale, FL",28.0652975,-81.7886906,1
99,"Augusta, GA",33.4734978,-82.0105148,3
100,"Augusta, WV",39.2953787,-78.6377912,1
101,"Aurora, CO",39.7294319,-104.8319195,12
102,"Aurora, IL",41.7605849,-88.32007150000004,2
103,"Aurora, MO",36.970891,-93.717979,1
104,"Austell, GA",33.8126059,-84.6343783,2
105,"Austin, AR",34.9984206,-91.9837552,1
106,"Austin, MN",43.6666296,-92.9746367,1
107,"Austin, TX",30.267153000000004,-97.7430608,25
108,"Avella, PA",40.2750705,-80.4606225,1
109,"Avenal, CA",36.0041223,-120.1290272,1
110,"Avon, IN",39.7628227,-86.3997167,1
111,"Avondale, AZ",33.4355977,-112.3496021,3
112,"Azle, TX",32.8951262,-97.5458565,2
113,"Azusa, CA",34.1336186,-117.9075627,4
114,"Bagley Township, MI",44.9683506,-84.6515354,1
115,"Bailey, CO",39.4060536,-105.4786412,1
116,"Bailey, NC",35.780712,-78.1188808,1
117,"Bainbridge Island, WA",47.62487910000001,-122.5210007,1
118,"Bakersfield, CA",35.3732921,-119.0187125,21
119,"Balch Springs, TX",32.7287413,-96.6227714,1
120,"Baldwin County, AL",30.6010744,-87.77633329999998,1
121,"Baldwin Hills, CA",34.0181993,-118.3403506,1
122,"Baltimore, MD",39.2903848,-76.6121893,14
123,"Bandon, OR",43.1189978,-124.408448,1
124,"Bangor, ME",44.8016128,-68.7712257,1
125,"Banning, CA",33.9255713,-116.8764103,1
126,"Barberton, OH",41.012833,-81.60512209999997,1
127,"Barberville, FL",29.1872023,-81.420901,1
128,"Barbourville, KY",36.86647650000001,-83.8888138,1
129,"Bardstown, KY",37.8092279,-85.46690249999997,1
130,"Barnwell, AL",30.423983000000003,-87.87857799999998,1
131,"Barona Indian Reservation, CA",32.9462585,-116.8615857,1
132,"Barrow County, GA",34.0142667,-83.6986568,1
133,"Barrow, AK",71.29055559999998,-156.788611,1
134,"Barstow, CA",34.89579570000001,-117.0172826,4
135,"Bartlesville, OK",36.7473114,-95.9808179,2
136,"Bartlett, TN",35.2045328,-89.8739753,1
137,"Barton, MS",34.9639824,-89.68925019999998,1
138,"Bassett, CA",34.05389210000001,-117.9867619,1
139,"Bassett, VA",36.7593036,-79.9903195,1
140,"Bastrop, LA",32.7562463,-91.8723497,1
141,"Batesville, AR",35.769799,-91.64097209999998,1
142,"Bath, NH",44.1670079,-71.96620089999998,1
143,"Baton Rouge, LA",30.451467699999995,-91.18714659999999,9
144,"Battle Creek, MI",42.32115220000001,-85.17971419999998,1
145,"Baxter, KY",36.8598108,-83.330737,1
146,"Bay City, MI",43.5944677,-83.8888647,1
147,"Bay Minette, AL",30.8829628,-87.77304740000002,1
148,"Baytown, TX",29.735504700000003,-94.97742740000001,3
149,"Beacon, NY",41.5048158,-73.9695832,1
150,"Beaumont, CA",33.92946060000001,-116.977248,3
151,"Beaumont, TX",30.080174,-94.1265562,2
152,"Beaver Dam, WI",43.4577692,-88.837329,1
153,"Beaver, WA",48.0574252,-124.3477569,1
154,"Beaverton, MI",43.8822464,-84.48473159999998,1
155,"Beaverton, OR",45.4888761,-122.8013771,3
156,"Beckley, WV",37.77817020000001,-81.18815570000002,1
157,"Beckville, TX",32.24293660000001,-94.4554782,1
158,"Bedford, TX",32.844017,-97.1430671,1
159,"Beech Grove, IN",39.7219884,-86.0899847,1
160,"Bel Air, MD",39.5359406,-76.34829309999998,1
161,"Belgrade, ME",44.44665139999999,-69.83210030000001,1
162,"Bell Gardens, CA",33.9652918,-118.1514588,1
163,"Bell, CA",33.9775142,-118.1870156,1
164,"Belle Glade, FL",26.6845104,-80.6675577,1
165,"Belleville, IL",38.5200504,-89.98399350000003,2
166,"Belleville, MI",42.2047619,-83.4852133,1
167,"Bellflower, CA",33.8816818,-118.1170117,1
168,"Bellingham, WA",48.7519112,-122.4786854,1
169,"Bellville, TX",29.950225300000003,-96.2571858,1
170,"Belmont, NH",43.4445327,-71.4776054,1
171,"Belton, MO",38.8119527,-94.5318982,2
172,"Belton, SC",34.5228881,-82.49429479999998,1
173,"Bemidji, MN",47.471573,-94.8826861,1
174,"Bend, OR",44.0581728,-121.3153096,3
175,"Benton City, WA",46.26318970000001,-119.487802,1
176,"Benton Harbor, MI",42.1167065,-86.45418939999998,1
177,"Benton Township, MI",42.1097328,-86.4173234,1
178,"Benton, AR",34.5645371,-92.586828,2
179,"Benton, IL",37.9967163,-88.92006850000001,1
180,"Berea, KY",37.568694,-84.2963223,1
181,"Bernalillo, NM",35.30004,-106.5511369,2
182,"Berne, NY",42.6253546,-74.13346469999998,1
183,"Bernice, LA",32.8220876,-92.6579295,1
184,"Bethany, OK",35.5186678,-97.63226390000001,1
185,"Beverly Hills, FL",28.9169245,-82.45815360000002,1
186,"Beverly, MA",42.5584283,-70.880049,1
187,"Beverly, OH",39.54785089999999,-81.6395732,1
188,"Bexar County, TX",29.420076300000005,-98.5721016,3
189,"Bibb County, GA",32.7865735,-83.7199136,1
190,"Big Bear, MO",34.2276705,-116.86080459999998,1
191,"Big Lake, AK",61.5118164,-149.9663271,1
192,"Big Springs, NE",41.0630102,-102.0740255,1
193,"Big Sur, CA",36.2704233,-121.8080556,1
194,"Billings, MT",45.783285600000006,-108.5006904,9
195,"Biloxi, MS",30.396031800000006,-88.88530779999998,2
196,"Birmingham, AL",33.5185892,-86.8103567,8
197,"Bisbee, AZ",31.448154700000003,-109.9284084,1
198,"Bismarck, ND",46.8083268,-100.7837392,1
199,"Bixby, OK",35.94204310000001,-95.8833235,1
200,"Black River Falls, WI",44.2946833,-90.8515311,1
201,"Blackfoot, ID",43.19047090000001,-112.3449773,1
202,"Blackman Township, MI",42.2799168,-84.45927009999998,1
203,"Blacksburg, SC",35.1212408,-81.51592459999998,1
204,"Blackwell, OK",36.8044767,-97.2828207,1
205,"Bloomfield Township, MI",42.5793103,-83.2827093,1
206,"Bloomfield, NJ",40.80675460000001,-74.1854209,1
207,"Bloomingdale, IL",41.9575285,-88.0809036,1
208,"Bloomington, MN",44.840798,-93.2982799,1
209,"Bloomsburg, PA",41.003698,-76.45494570000002,1
210,"Blountville, TN",36.5331586,-82.32680599999998,1
211,"Blue Springs, MO",39.0169509,-94.2816148,2
212,"Blue Summit, MO",39.0886727,-94.4812434,1
213,"Bluefield, WV",37.2698395,-81.2223195,1
214,"Blytheville, AR",35.9272953,-89.9189753,1
215,"Boerne, TX",29.79466409999999,-98.7319703,2
216,"Bogalusa, LA",30.7910204,-89.8486858,1
217,"Boiling Springs, SC",35.046508,-81.98177259999999,1
218,"Boise, ID",43.6150186,-116.2023137,7
219,"Bolton, CT",41.7689878,-72.4334173,1
220,"Bolton, VT",44.3726476,-72.87876250000002,1
221,"Bon Aqua, TN",35.9533956,-87.3275828,1
222,"Bonaire, GA",32.5437575,-83.5960161,1
223,"Boone, IA",42.05970470000001,-93.8802273,2
224,"Booneville, KY",37.4761991,-83.6749145,1
225,"Boonville, IN",38.0492131,-87.27417229999998,1
226,"Boring, OR",45.4313662,-122.37346409999998,1
227,"Bossier City, LA",32.5159852,-93.7321228,1
228,"Boston, MA",42.3600825,-71.0588801,7
229,"Boswell, OK",34.0273209,-95.8691422,1
230,"Boulder City, NV",35.97822160000001,-114.8345117,1
231,"Boulder Creek, CA",37.12605780000001,-122.1221869,1
232,"Boulder, CO",40.0149856,-105.2705456,4
233,"Bowling Green, KY",36.9685219,-86.48080429999997,1
234,"Box Elder, SD",44.1124877,-103.0682323,1
235,"Boyle Heights, CA",34.0297895,-118.2117257,1
236,"Boynton Beach, FL",26.531786600000004,-80.0905465,1
237,"Boyton Beach, FL",26.531786600000004,-80.0905465,1
238,"Bozeman, MT",45.6769979,-111.0429339,1
239,"Bradenton, FL",27.4989278,-82.5748194,3
240,"Bradley County, TN",35.1937778,-84.8567932,1
241,"Braintree, MA",42.20790170000001,-71.0040013,1
242,"Brandywine, WV",38.6248402,-79.2447608,1
243,"Brawley, CA",32.9786566,-115.530267,1
244,"Braxton County, WV",38.7023371,-80.7214417,1
245,"Braxton, MS",32.0251542,-89.9703588,1
246,"Breaux Bridge, LA",30.273532300000007,-91.8992837,1
247,"Bremen, KY",37.3614333,-87.2186078,1
248,"Bremerton, WA",47.56500670000001,-122.6269768,1
249,"Brevard, NC",35.2334472,-82.73429190000002,1
250,"Brick Township, NJ",40.0578384,-74.13718320000002,1
251,"Brick, NJ",40.0578384,-74.13718320000002,1
252,"Bridgeport, CT",41.1792258,-73.18943840000001,1
253,"Bridgeton, NJ",39.427337,-75.2340768,1
254,"Brighton Township, MI",42.5564732,-83.7411631,1
255,"Brighton, CO",39.9852617,-104.8205283,1
256,"Bristol Township, PA",40.1259492,-74.86825689999998,1
257,"Bristol, TN",36.5951059,-82.18874439999998,2
258,"Bristol, VA",36.595142,-82.1887368,1
259,"Brockton, MA",42.08343350000001,-71.0183787,2
260,"Brodhead, KY",37.40424960000001,-84.41382589999998,1
261,"Broken Bow, OK",34.02927639999999,-94.7391045,1
262,"Bronx, NY",40.8447819,-73.86482679999997,4
263,"Brookhaven, MS",31.5790588,-90.4406506,1
264,"Brooklet, GA",32.379629400000006,-81.66316590000002,1
265,"Brooklyn, NY",40.6781784,-73.94415790000002,5
266,"Brooklyn, OH",41.4301349,-81.7512107,1
267,"Brookshire, TX",29.7860643,-95.95106609999999,1
268,"Brooksville, AL",34.162040399999995,-86.4755431,1
269,"Brooksville, FL",28.5552719,-82.38787090000002,3
270,"Brookville, IN",39.4231065,-85.0127376,1
271,"Brookville, OH",39.83672070000001,-84.4113366,1
272,"Broomfield, CO",39.9205411,-105.0866504,1
273,"Brownstown, IN",38.87894259999999,-86.0419247,1
274,"Brownsville, TX",25.9017472,-97.4974838,4
275,"Bruce, FL",30.4724182,-85.96521419999998,1
276,"Buckeye, AZ",33.3703197,-112.58377659999998,4
277,"Buckhannon, WV",38.99398720000001,-80.2320276,1
278,"Buffalo, MO",37.6439289,-93.0924093,1
279,"Buffalo, NY",42.88644679999999,-78.8783689,3
280,"Buford, GA",34.1206564,-84.0043513,2
281,"Bull Shoals, AR",36.383956,-92.5815527,1
