,location
0,"Shelton, WA"
1,"Aloha, OR"
2,"Wichita, KS"
3,"San Francisco, CA"
4,"Evans, CO"
5,"Guthrie, OK"
6,"Chandler, AZ"
7,"Assaria, KS"
8,"Burlington, IA"
9,"Knoxville, PA"
10,"Stockton, CA"
11,"Freeport, TX"
12,"Columbus, OH"
13,"Des Moines, IA"
14,"New Orleans, LA"
15,"Huntley, MT"
16,"Salt Lake City, UT"
17,"Strong, AR"
18,"Syracuse, UT"
19,"England, AR"
20,"El Paso, TX"
21,"Arcola, IL"
22,"South Gate, CA"
23,"North Las Vegas, NV"
24,"Albuquerque, NM"
25,"Jourdanton, TX"
26,"St. Paul, MN"
27,"Franklin County, MO"
28,"Chesapeake, VA"
29,"Old Bridge, NJ"
30,"Lake Jackson, TX"
31,"Draper, UT"
32,"Indianapolis, IN"
33,"Aurora, CO"
34,"Bloomington, MN"
35,"Fairfield, CA"
36,"Evangeline Parish, LA"
37,"Mabank, TX"
38,"Fremont, CA"
39,"Muskogee, OK"
40,"Los Angeles, CA"
41,"Fort Worth, TX"
42,"Maricopa, AZ"
43,"Gunlock, KY"
44,"Weymouth, MA"
45,"Scottsdale, AZ"
46,"Hemet, CA"
47,"Chapeno, TX"
48,"St. Louis, MO"
49,"Derry, NH"
50,"Sierra Blanca, TX"
51,"Longview, TX"
52,"Austin, TX"
53,"Fort Lauderdale, FL"
54,"Levelland, TX"
55,"Rexburg, ID"
56,"Baltimore, MD"
57,"Pueblo, CO"
58,"Winslow, NJ"
59,"Denver, CO"
60,"New Hope, MN"
61,"Tahoka, TX"
62,"Wasco, CA"
63,"Phoenix, AZ"
64,"Morenci, AZ"
65,"Omaha, NE"
66,"Sunset, TX"
67,"Rosenberg, TX"
68,"Stillwater, OK"
69,"Wyoming, MI"
70,"Billings, MT"
71,"Houston, TX"
72,"Randallstown, MD"
73,"Bay City, MI"
74,"Hummelstown, PA"
75,"Apple Valley, CA"
76,"Emeryville, CA"
77,"Antioch, CA"
78,"Douglas, GA"
79,"Tallahassee, FL"
80,"Orlando, FL"
81,"Tempe, AZ"
82,"Lorena, TX"
83,"Memphis, TN"
84,"Chino, CA"
85,"Oklahoma City, OK"
86,"Calimesa, CA"
