,location
5,"Guthrie, OK"
8,"Burlington, IA"
12,"Columbus, OH"
14,"New Orleans, LA"
22,"South Gate, CA"
24,"Albuquerque, NM"
25,"Jourdanton, TX"
29,"Old Bridge, NJ"
41,"Fort Worth, TX"
46,"Hemet, CA"
52,"Austin, TX"
63,"Phoenix, AZ"
68,"Stillwater, OK"
81,"Tempe, AZ"
92,"Smyrna, ME"
100,"Kansas City, KS"
140,"Tarboro, NC"
176,"Medford, OR"
177,"Dublin, NC"
179,"Glendale, AZ"
187,"Harmony, IN"
191,"Islip, NY"
219,"Winchester, VA"
250,"Wilmore, KY"
251,"Sidney, NE"
269,"Kings County, CA"
273,"Marion, IL"
311,"Ft. Lauderdale, FL"
339,"Byram, NJ"
407,"Olivehurst, CA"
426,"Fort Collins, CO"
453,"Roswell, NM"
454,"Nitro, WV"
479,"Boerne, TX"
500,"West Chester, PA"
506,"Cushing, OK"
510,"Artesia, NM"
512,"Mitchell, SD"
522,"El Monte, CA"
535,"Chalmette, LA"
550,"Niceville, FL"
565,"Beckley, WV"
594,"Kirkland, WA"
597,"Columbus, MS"
628,"Colorado Springs, CO"
630,"Hutchinson, MN"
633,"Marksville, LA"
636,"Hominy, OK"
643,"Brighton, CO"
655,"Arlington, GA"
672,"Norwalk, CA"
675,"Mount Washington, PA"
683,"Marina, CA"
693,"Mount Hope, WV"
696,"Kent, OH"
713,"Porterville, CA"
736,"Rising Sun, MD"
743,"Hurst, IL"
765,"Phenix City, AL"
782,"Barrow, AK"
785,"Maiden, NC"
810,"Roanoke, VA"
